steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,noise_mode,cost_scale_override,seed,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,bridge_multiplier_used_mean_tail,bridge_multiplier_used_max,bridge_multiplier_used_amp_tail,bridge_multiplier_used_std_tail,content_frac_H_mean_tail,content_frac_H_max,content_frac_H_amp_tail,content_frac_H_std_tail,content_frac_P_mean_tail,content_frac_P_max,content_frac_P_amp_tail,content_frac_P_std_tail,content_frac_D_mean_tail,content_frac_D_max,content_frac_D_amp_tail,content_frac_D_std_tail,regime_fixed,regime
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,1,default,0.3207,0.8083333333333333,0.17083333333333336,0.028867205537695464,0.37331666666666674,0.45,0.14583333333333337,0.026172764682224747,0.30598333333333333,0.38333333333333336,0.13333333333333333,0.02413716014778872,0.7345331243560244,0.8374564620349824,0.19450208584715223,0.03511818542394359,0.7337139085549637,0.8374564620349824,0.19450208584715223,0.03501125455202641,0.4034507693664143,0.5776643593020496,0.33828626815255236,0.06414709029119128,0.401,0.6125,0.41666666666666674,0.07129730398518273,2.3240122971473713,2.4684435428495823,0.278077817307937,0.054558724885178676,1.0,1.0,0.0,0.0,0.329,0.6428571428571429,0.49999999999999994,0.09787966372760262,0.050714285714285705,0.14285714285714285,0.14285714285714285,0.038125731843092904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.34166666666666673,0.3416666666666667,0.0,5.551115123125783e-17,0.44166666666666654,0.44166666666666665,0.0,1.1102230246251565e-16,0.21666666666666673,0.21666666666666667,0.0,5.551115123125783e-17,stable,oscillatory
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,2,default,0.3225333333333333,0.7833333333333333,0.15833333333333333,0.027906570313577888,0.37548333333333334,0.4583333333333333,0.16249999999999998,0.031973986822624006,0.3019833333333333,0.3958333333333333,0.1541666666666667,0.025295964763837997,0.7294281659764494,0.8297279996464779,0.19028065689637053,0.03246486319111763,0.7297199486404157,0.8297279996464779,0.19487287096014694,0.03219392381561277,0.3943179104030669,0.5644819413606331,0.3392696453525997,0.05894133795573478,0.39385000000000003,0.5875,0.3541666666666667,0.06542189788000821,2.356507881991568,2.53625849782745,0.3275612951841338,0.05576778674634466,1.0,1.0,0.0,0.0,0.3581428571428571,0.5714285714285714,0.3571428571428571,0.07695758174315967,0.044142857142857136,0.10714285714285714,0.10714285714285714,0.02812835014060819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.3291666666666666,0.32916666666666666,0.0,5.551115123125783e-17,0.5083333333333332,0.5083333333333333,0.0,1.1102230246251565e-16,0.1625,0.1625,0.0,0.0,oscillatory,oscillatory
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,3,default,0.31301666666666667,0.7583333333333333,0.16666666666666669,0.026600381158505566,0.3705833333333334,0.45416666666666666,0.14166666666666666,0.026220353629279002,0.3164,0.4375,0.15000000000000002,0.028928763079906016,0.7564488305005646,0.8604003793342944,0.2198440325123343,0.038228278119457136,0.7568933838033906,0.8604003793342944,0.2198440325123343,0.038194739877319195,0.4484262008213543,0.6114853389468552,0.37637094500116264,0.06822982386969362,0.4466333333333333,0.6416666666666667,0.45000000000000007,0.07637207168417871,2.3891562262645074,2.5327413296360124,0.3188777531249416,0.051472757574405587,1.0,1.0,0.0,0.0,0.4177142857142857,0.6785714285714286,0.5357142857142858,0.10490267598384433,0.11857142857142856,0.21428571428571427,0.21428571428571427,0.04311825220796163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.36666666666666664,0.36666666666666664,0.0,0.0,0.45833333333333326,0.4583333333333333,0.0,5.551115123125783e-17,0.175,0.175,0.0,0.0,oscillatory,runaway
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,4,default,0.31533333333333335,0.8291666666666667,0.15416666666666665,0.02723406771755634,0.39085000000000003,0.4666666666666667,0.14166666666666666,0.027306638387029628,0.29381666666666667,0.37083333333333335,0.13333333333333336,0.025882260119411693,0.7240088779605159,0.8238561056320847,0.16973834758407125,0.033790113287016345,0.7246523295030577,0.8238561056320847,0.16973834758407125,0.03345098017513885,0.3844929795926903,0.5552549672137006,0.3010480658017791,0.0613185601273923,0.3843833333333333,0.5791666666666667,0.3583333333333334,0.06955769188235045,2.3778400767863133,2.5265141282169976,0.29387649449746256,0.05397329240165095,1.0,1.0,0.0,0.0,0.37257142857142855,0.5714285714285714,0.42857142857142855,0.07939002147753886,0.09257142857142855,0.21428571428571427,0.21428571428571427,0.03966595208868735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.30416666666666664,0.30416666666666664,0.0,0.0,0.5,0.5,0.0,0.0,0.1958333333333333,0.19583333333333333,0.0,2.7755575615628914e-17,stable,oscillatory
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,5,default,0.3004833333333333,0.8041666666666667,0.17916666666666664,0.03156962763304136,0.3900833333333333,0.4666666666666667,0.15000000000000002,0.02628489743813609,0.30943333333333334,0.3875,0.17500000000000002,0.03559472495250447,0.7273564554646127,0.8265100739406113,0.22938941559789305,0.04657019286205653,0.7270881030375684,0.8265100739406113,0.22938941559789305,0.0468229395995734,0.3772261344024838,0.5422894059053384,0.37720096027786865,0.0818557923586136,0.37898333333333334,0.5958333333333333,0.38750000000000007,0.08641410153698552,2.3976452303343483,2.5575359225733365,0.3768511027454151,0.07358374727006886,1.0,1.0,0.0,0.0,0.3607142857142857,0.6071428571428571,0.4285714285714285,0.0850120039543036,0.02471428571428571,0.10714285714285714,0.07142857142857142,0.019598521393623718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.4,0.4,0.0,0.0,0.4541666666666666,0.45416666666666666,0.0,5.551115123125783e-17,0.14583333333333334,0.14583333333333334,0.0,0.0,oscillatory,oscillatory
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,6,default,0.32603333333333334,0.7833333333333333,0.14583333333333331,0.026053662570420563,0.3657666666666667,0.44583333333333336,0.15416666666666667,0.024908633041578174,0.3082,0.38333333333333336,0.15416666666666667,0.030404385648565024,0.723792938985763,0.8587292572830809,0.19930875537548776,0.037293492094868985,0.723247903922759,0.8587292572830809,0.19930875537548776,0.037322327386954325,0.3805907601903897,0.5986825598329997,0.34471265933006767,0.06746712998376299,0.3781333333333333,0.5916666666666667,0.3791666666666667,0.07558504408207281,2.3499336787459897,2.5603814710452806,0.29605740835422,0.05678628275234646,1.0,1.0,0.0,0.0,0.3362857142857143,0.5714285714285714,0.42857142857142855,0.07391169579647192,0.06342857142857142,0.17857142857142858,0.17857142857142858,0.035388225875455315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.3583333333333334,0.35833333333333334,0.0,5.551115123125783e-17,0.4291666666666666,0.42916666666666664,0.0,5.551115123125783e-17,0.21249999999999994,0.2125,0.0,5.551115123125783e-17,oscillatory,oscillatory
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,7,default,0.3049166666666666,0.8083333333333333,0.1375,0.02573489308744496,0.3745833333333333,0.4666666666666667,0.175,0.02859984945570324,0.3205,0.4,0.1541666666666667,0.029763419009097576,0.7489482872378296,0.8433713927125904,0.19118404296970581,0.03607844140987492,0.7492376623603318,0.8433713927125904,0.18727496922347187,0.035618110144508476,0.4235107930140393,0.5747375596761178,0.3182815125791621,0.06314458544417682,0.42503333333333343,0.65,0.3875,0.0725009501853443,2.365694204381308,2.496602416229909,0.28666165018685463,0.051940644115265285,1.0,1.0,0.0,0.0,0.3667142857142857,0.6071428571428571,0.46428571428571425,0.08345364104747996,0.03214285714285714,0.10714285714285714,0.10714285714285714,0.02638993314558738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.37916666666666665,0.37916666666666665,0.0,0.0,0.43333333333333346,0.43333333333333335,0.0,1.1102230246251565e-16,0.1875,0.1875,0.0,0.0,oscillatory,oscillatory
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,8,default,0.3162166666666667,0.8416666666666667,0.15833333333333335,0.02595680707123535,0.3708333333333333,0.45,0.13333333333333336,0.025190937523905957,0.31295,0.4125,0.125,0.023807801009099704,0.7234224790691708,0.8355124283278634,0.1790382930454556,0.03200223069041195,0.7231302881357583,0.8355124283278634,0.1790382930454556,0.031821937223963155,0.3713008346496834,0.5560019194387079,0.3070330328342843,0.05679226797993767,0.3698166666666667,0.5583333333333333,0.3208333333333333,0.06345608498971728,2.346248345535327,2.4934120752430973,0.30288182253437457,0.05085817183642298,1.0,1.0,0.0,0.0,0.363,0.6071428571428571,0.49999999999999994,0.07896899417376624,0.010142857142857143,0.07142857142857142,0.07142857142857142,0.017028787151078455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.37083333333333335,0.37083333333333335,0.0,0.0,0.44166666666666654,0.44166666666666665,0.0,1.1102230246251565e-16,0.1875,0.1875,0.0,0.0,stable,runaway
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,9,default,0.3124333333333333,0.7625,0.1375,0.02633113914909283,0.38555,0.4666666666666667,0.1375,0.026228488540346952,0.30201666666666666,0.4,0.15416666666666665,0.025747756105036504,0.7346214151251347,0.8399635473427022,0.2051861956441453,0.0347143899978072,0.7336098442166253,0.8399635473427022,0.2051861956441453,0.03497190643705462,0.40710585970548535,0.5868640290179212,0.36010734476846007,0.06464342051526946,0.40631666666666666,0.6375,0.3833333333333333,0.07129771112112303,2.351133229072411,2.4979702678733564,0.3093764718285259,0.05179208492033702,1.0,1.0,0.0,0.0,0.30357142857142855,0.5,0.39285714285714285,0.08139410298049853,0.08742857142857141,0.21428571428571427,0.21428571428571427,0.045615070907295004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.3125,0.3125,0.0,0.0,0.46666666666666673,0.4666666666666667,0.0,5.551115123125783e-17,0.22083333333333327,0.22083333333333333,0.0,5.551115123125783e-17,oscillatory,oscillatory
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,oracle,0.5,10,default,0.32839999999999997,0.8208333333333333,0.1375,0.026485761373907218,0.37639999999999996,0.44583333333333336,0.1375,0.02509672400046579,0.2952,0.36666666666666664,0.1166666666666667,0.023100360747543895,0.7128805879158943,0.8355734016791831,0.1722458864556935,0.03224107421705083,0.7134035257539845,0.8355734016791831,0.1722458864556935,0.032584926729930255,0.36396646792241094,0.5714121824339454,0.30488258145375213,0.05982346053297588,0.3666166666666667,0.5666666666666667,0.36249999999999993,0.06794757170053982,2.365929295732208,2.590046807729388,0.2767860952642538,0.05244037217029939,1.0,1.0,0.0,0.0,0.345,0.5357142857142857,0.3571428571428571,0.07746296020732511,0.09028571428571427,0.21428571428571427,0.21428571428571427,0.038219559048706345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.2958333333333334,0.29583333333333334,0.0,5.551115123125783e-17,0.4541666666666666,0.45416666666666666,0.0,5.551115123125783e-17,0.25,0.25,0.0,0.0,stable,stable
