steps,n,topology,num_communities,p_in,p_out,bridge_fraction,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,delay_steps,noise_mode,seed,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,bridge_multiplier_used_mean_tail,bridge_multiplier_used_max,bridge_multiplier_used_amp_tail,bridge_multiplier_used_std_tail,content_frac_H_mean_tail,content_frac_H_max,content_frac_H_amp_tail,content_frac_H_std_tail,content_frac_P_mean_tail,content_frac_P_max,content_frac_P_amp_tail,content_frac_P_std_tail,content_frac_D_mean_tail,content_frac_D_max,content_frac_D_amp_tail,content_frac_D_std_tail,regime_fixed,regime
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,1,default,0.3795333333333333,0.8083333333333333,0.14583333333333331,0.026439217503969787,0.40714999999999996,0.4791666666666667,0.1375,0.02598187936919798,0.21331666666666665,0.32916666666666666,0.15000000000000002,0.02179990443404129,0.617871593953436,0.7401285039678205,0.18522182658764064,0.03122872556004245,0.6180510819526991,0.7401285039678205,0.18522182658764064,0.031247523771475893,0.20388525250504722,0.41625314884121356,0.26368411715054285,0.0454666444051079,0.20411666666666667,0.42916666666666664,0.31666666666666665,0.0533196362619918,2.1710848714946556,2.3214624950134337,0.2827168002429885,0.04959879496130048,1.0,1.0,0.0,0.0,0.192,0.42857142857142855,0.35714285714285715,0.06254206747527326,0.03771428571428571,0.14285714285714285,0.14285714285714285,0.02989915021657755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.34166666666666673,0.3416666666666667,0.0,5.551115123125783e-17,0.44166666666666654,0.44166666666666665,0.0,1.1102230246251565e-16,0.21666666666666673,0.21666666666666667,0.0,5.551115123125783e-17,oscillatory,oscillatory
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,2,default,0.36155000000000004,0.7833333333333333,0.1375,0.02623611272866297,0.43181666666666674,0.5,0.1333333333333333,0.024955343449182717,0.20663333333333334,0.3333333333333333,0.09583333333333333,0.02031758953331926,0.6289254090635034,0.7815801875422516,0.15885955971672083,0.030060246632018655,0.6289975480526707,0.7815801875422516,0.15885955971672083,0.03007745901701294,0.2189635622597703,0.4888259664806737,0.23726486985000644,0.045895339884450485,0.21858333333333332,0.5,0.2916666666666667,0.052869138761032726,2.2405184686345803,2.423362355098945,0.24842842059343795,0.05016989428097297,1.0,1.0,0.0,0.0,0.14585714285714282,0.4642857142857143,0.39285714285714285,0.062156648715900355,0.008142857142857143,0.10714285714285714,0.07142857142857142,0.015649867965798907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.3291666666666666,0.32916666666666666,0.0,5.551115123125783e-17,0.5083333333333332,0.5083333333333333,0.0,1.1102230246251565e-16,0.1625,0.1625,0.0,0.0,stable,stable
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,3,default,0.3804166666666666,0.7583333333333333,0.14583333333333331,0.025342788805584212,0.40443333333333337,0.5041666666666667,0.14583333333333331,0.027285751267323063,0.21515,0.3458333333333333,0.13333333333333336,0.021669672868371185,0.6290026991059224,0.7945490590991305,0.17300045358275962,0.028770383386547242,0.6288429318470828,0.7945490590991305,0.17300045358275962,0.02868921026863265,0.22120686753438282,0.5170510602937146,0.2541553473990955,0.044479538892744815,0.22018333333333334,0.5333333333333333,0.2958333333333333,0.053415897030336904,2.2197636631598505,2.4161693508223587,0.29430879728642667,0.0472361759014469,1.0,1.0,0.0,0.0,0.27428571428571435,0.4642857142857143,0.35714285714285715,0.07,0.03971428571428571,0.17857142857142858,0.14285714285714285,0.03104177566980816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.36666666666666664,0.36666666666666664,0.0,0.0,0.45833333333333326,0.4583333333333333,0.0,5.551115123125783e-17,0.175,0.175,0.0,0.0,stable,oscillatory
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,4,default,0.39458333333333334,0.8291666666666667,0.15000000000000002,0.025468526328261187,0.39913333333333334,0.4666666666666667,0.15416666666666667,0.02421142980770308,0.20628333333333332,0.3458333333333333,0.1375,0.021931845187610943,0.5967727034367729,0.7460843990771493,0.18169557181796014,0.031418126315294545,0.5968639229630719,0.7460843990771493,0.18169557181796014,0.031473030368446404,0.17332448015418334,0.42464673220732807,0.23962452844045934,0.04205055444867442,0.17566666666666667,0.3875,0.2708333333333333,0.04659339485854668,2.2048672062166808,2.39409441969646,0.26012427977890784,0.04930473893111971,1.0,1.0,0.0,0.0,0.22714285714285712,0.4642857142857143,0.3571428571428571,0.07055176128494713,0.046428571428571416,0.17857142857142858,0.14285714285714285,0.029320536788248273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.30416666666666664,0.30416666666666664,0.0,0.0,0.5,0.5,0.0,0.0,0.1958333333333333,0.19583333333333333,0.0,2.7755575615628914e-17,stable,oscillatory
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,5,default,0.36356666666666665,0.8041666666666667,0.12083333333333335,0.023704804951270485,0.4065666666666667,0.48333333333333334,0.17083333333333334,0.02737985877733241,0.22986666666666666,0.3625,0.15000000000000002,0.022688935139793975,0.615284299510804,0.7420786737022973,0.1844350909978978,0.0285208607323223,0.6155511023349489,0.7420786737022973,0.1844350909978978,0.028420096412439106,0.19243029538971523,0.4046938375103782,0.27132794881467287,0.04020721341223014,0.19335,0.42083333333333334,0.3208333333333333,0.04676195331439628,2.238647179337181,2.378621041551105,0.26170226626183624,0.0450120438628169,1.0,1.0,0.0,0.0,0.21385714285714283,0.5,0.35714285714285715,0.0649554007118165,0.006142857142857143,0.10714285714285714,0.07142857142857142,0.015253637906668529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.4,0.4,0.0,0.0,0.4541666666666666,0.45416666666666666,0.0,5.551115123125783e-17,0.14583333333333334,0.14583333333333334,0.0,0.0,oscillatory,oscillatory
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,6,default,0.3734666666666667,0.7833333333333333,0.14583333333333331,0.024925087763135356,0.41035000000000005,0.475,0.12916666666666665,0.024450113610279108,0.21618333333333334,0.35,0.11250000000000002,0.01976183892702746,0.6221476011783775,0.7599884467974736,0.18950713376341177,0.028813476306897855,0.6224249076617848,0.7599884467974736,0.18950713376341177,0.028672013745251856,0.20767249897594514,0.4483292303117387,0.2854981013178642,0.04274502067796115,0.20660000000000003,0.4583333333333333,0.3125,0.04996716699771739,2.22040144037871,2.3845254167346397,0.294616053158649,0.047659449393593234,1.0,1.0,0.0,0.0,0.24128571428571427,0.5,0.4285714285714286,0.07057041641842132,0.027571428571428566,0.10714285714285714,0.10714285714285714,0.025951681947773003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.3583333333333334,0.35833333333333334,0.0,5.551115123125783e-17,0.4291666666666666,0.42916666666666664,0.0,5.551115123125783e-17,0.21249999999999994,0.2125,0.0,5.551115123125783e-17,stable,stable
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,7,default,0.37646666666666656,0.8083333333333333,0.12916666666666665,0.023340808326476902,0.4086166666666667,0.4875,0.14999999999999997,0.02461910391906614,0.21491666666666667,0.32083333333333336,0.12916666666666665,0.021783180310607643,0.6195204639150301,0.7025440456568252,0.16655950673747955,0.02841375910803735,0.6195777044118773,0.7025440456568252,0.16655950673747955,0.028445875813686156,0.20169135865891497,0.33886153318870527,0.2345453191480269,0.041230691577506536,0.20305,0.39166666666666666,0.2791666666666667,0.04733527284758751,2.189912401387225,2.323298471224805,0.24247721972213165,0.045387317678868076,1.0,1.0,0.0,0.0,0.19542857142857142,0.39285714285714285,0.35714285714285715,0.06137472723244595,0.02057142857142857,0.07142857142857142,0.07142857142857142,0.022480830836560304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.37916666666666665,0.37916666666666665,0.0,0.0,0.43333333333333346,0.43333333333333335,0.0,1.1102230246251565e-16,0.1875,0.1875,0.0,0.0,stable,oscillatory
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,8,default,0.37626666666666664,0.8416666666666667,0.1375,0.025395340780019735,0.40445,0.49583333333333335,0.15833333333333333,0.026961706383519406,0.2192833333333333,0.4125,0.12083333333333335,0.021532281966077507,0.6114742725081109,0.7937244295315906,0.15058325476882928,0.02920935571073652,0.6112982745216479,0.7937244295315906,0.15058325476882928,0.029136374673311104,0.18725593284623335,0.4946451625029489,0.20116074883210747,0.03996160460935004,0.1895,0.5125,0.25,0.04700059101283255,2.2013696886046055,2.397459025555309,0.2517430466294379,0.048093871550995024,1.0,1.0,0.0,0.0,0.28328571428571425,0.5,0.35714285714285715,0.06143870348334416,0.005714285714285713,0.07142857142857142,0.07142857142857142,0.013850513878332369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.37083333333333335,0.37083333333333335,0.0,0.0,0.44166666666666654,0.44166666666666665,0.0,1.1102230246251565e-16,0.1875,0.1875,0.0,0.0,stable,runaway
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,9,default,0.38825,0.7625,0.16249999999999998,0.02599532543447849,0.3874666666666667,0.4625,0.14583333333333331,0.023006617405530186,0.22428333333333336,0.3875,0.10000000000000003,0.020230621729337817,0.6283286135989442,0.7973584420957921,0.16462860657469114,0.031658335888197206,0.6283914883137601,0.7973584420957921,0.16462860657469114,0.03162456298361538,0.221460449618496,0.5225888225358758,0.25007170217801256,0.04890026465396077,0.22208333333333333,0.5666666666666667,0.28750000000000003,0.05519064181946469,2.1980517624603833,2.3961870069252966,0.29493342550918733,0.04956469548575543,1.0,1.0,0.0,0.0,0.3662857142857143,0.6428571428571429,0.3928571428571428,0.06266268622472194,0.0937142857142857,0.17857142857142858,0.17857142857142858,0.03035974778739582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.3125,0.3125,0.0,0.0,0.46666666666666673,0.4666666666666667,0.0,5.551115123125783e-17,0.22083333333333327,0.22083333333333333,0.0,5.551115123125783e-17,stable,stable
500,240,modular,6,0.08,0.004,0.12,10.0,0.72,0.22,True,static,1.0,True,True,1.35,default,0,oracle,10,default,0.36856666666666665,0.8208333333333333,0.17083333333333334,0.02405435973419834,0.4240833333333333,0.49583333333333335,0.1291666666666667,0.024299777090884326,0.20735,0.3125,0.1,0.01919395882968273,0.6142272790085228,0.7603929506785655,0.18873695367118692,0.027692177690175342,0.6143338784215301,0.7603929506785655,0.18873695367118692,0.027626205427257043,0.1966089230654881,0.45093984164071305,0.2387722943404148,0.03850357310505455,0.1953,0.425,0.275,0.044403378249858426,2.2516736664326866,2.436243442237654,0.31688756982538147,0.04636223416632958,1.0,1.0,0.0,0.0,0.2247142857142857,0.42857142857142855,0.3214285714285714,0.06151505539960382,0.040571428571428564,0.14285714285714285,0.14285714285714285,0.031410384348141286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.2958333333333334,0.29583333333333334,0.0,5.551115123125783e-17,0.4541666666666666,0.45416666666666666,0.0,5.551115123125783e-17,0.25,0.25,0.0,0.0,stable,stable
