steps,n,topology,num_communities,p_in,p_out,bridge_fraction,delay_steps,k,alarm_threshold,influence_weight,learning,regulator,regulator_force,enable_content,enable_noise,bridge_multiplier,name,enable_endogenous_content,noise_mode,seed,condition,L_mean_tail,L_max,L_amp_tail,L_std_tail,M_mean_tail,M_max,M_amp_tail,M_std_tail,R_mean_tail,R_max,R_amp_tail,R_std_tail,alarm_true_mean_tail,alarm_true_max,alarm_true_amp_tail,alarm_true_std_tail,alarm_delayed_mean_tail,alarm_delayed_max,alarm_delayed_amp_tail,alarm_delayed_std_tail,avg_repression_mean_tail,avg_repression_max,avg_repression_amp_tail,avg_repression_std_tail,punished_fraction_mean_tail,punished_fraction_max,punished_fraction_amp_tail,punished_fraction_std_tail,usefulness_mean_tail,usefulness_max,usefulness_amp_tail,usefulness_std_tail,regulator_force_mean_tail,regulator_force_max,regulator_force_amp_tail,regulator_force_std_tail,bridge_radical_fraction_mean_tail,bridge_radical_fraction_max,bridge_radical_fraction_amp_tail,bridge_radical_fraction_std_tail,dangerous_radical_bridge_fraction_mean_tail,dangerous_radical_bridge_fraction_max,dangerous_radical_bridge_fraction_amp_tail,dangerous_radical_bridge_fraction_std_tail,false_positive_rate_mean_tail,false_positive_rate_max,false_positive_rate_amp_tail,false_positive_rate_std_tail,false_negative_rate_mean_tail,false_negative_rate_max,false_negative_rate_amp_tail,false_negative_rate_std_tail,false_positive_bridge_rate_mean_tail,false_positive_bridge_rate_max,false_positive_bridge_rate_amp_tail,false_positive_bridge_rate_std_tail,false_negative_bridge_rate_mean_tail,false_negative_bridge_rate_max,false_negative_bridge_rate_amp_tail,false_negative_bridge_rate_std_tail,bridge_multiplier_used_mean_tail,bridge_multiplier_used_max,bridge_multiplier_used_amp_tail,bridge_multiplier_used_std_tail,content_frac_H_mean_tail,content_frac_H_max,content_frac_H_amp_tail,content_frac_H_std_tail,content_frac_P_mean_tail,content_frac_P_max,content_frac_P_amp_tail,content_frac_P_std_tail,content_frac_D_mean_tail,content_frac_D_max,content_frac_D_amp_tail,content_frac_D_std_tail,regime_fixed,regime,content_transition_strength
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,1,exogenous,0.3742,0.8083333333333333,0.12916666666666665,0.02411313611568046,0.4263166666666667,0.5,0.1375,0.02706478339096768,0.19948333333333332,0.37083333333333335,0.125,0.024719476127135057,0.6049421804679134,0.7824484043591601,0.16214179017795516,0.031148646176890452,0.6050761622542011,0.7824484043591601,0.16214179017795516,0.031175711288460323,0.18545277853716133,0.49273603486604434,0.22532090638173977,0.04321663317691929,0.18553333333333336,0.5083333333333333,0.25,0.04900843464819772,2.1673265853515837,2.3525431996703077,0.2363030000438262,0.04596051080843827,1.0,1.0,0.0,0.0,0.163,0.5,0.32142857142857145,0.06338560320670263,0.006428571428571428,0.14285714285714285,0.07142857142857142,0.01513544292886935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.34166666666666673,0.3416666666666667,0.0,5.551115123125783e-17,0.44166666666666654,0.44166666666666665,0.0,1.1102230246251565e-16,0.21666666666666673,0.21666666666666667,0.0,5.551115123125783e-17,stable,oscillatory,
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,2,exogenous,0.38006666666666666,0.7833333333333333,0.15000000000000002,0.025943763969187066,0.4090833333333333,0.49166666666666664,0.15833333333333333,0.02561588591306401,0.21084999999999998,0.3958333333333333,0.10000000000000003,0.020598334614450965,0.615841983764234,0.8158740329442637,0.16063874728281224,0.029384813747735734,0.6157956746006022,0.8158740329442637,0.16063874728281224,0.029913443348580652,0.1993400902449447,0.5442437253897597,0.22989458187016565,0.04328877323028051,0.20003333333333334,0.5666666666666667,0.3125,0.05223609862920469,2.2186681988202026,2.4386007794145232,0.2713420178130077,0.048623861981885105,1.0,1.0,0.0,0.0,0.26085714285714284,0.4642857142857143,0.3928571428571429,0.07405513665712948,0.035714285714285705,0.14285714285714285,0.14285714285714285,0.026341555592265392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.3291666666666666,0.32916666666666666,0.0,5.551115123125783e-17,0.5083333333333332,0.5083333333333333,0.0,1.1102230246251565e-16,0.1625,0.1625,0.0,0.0,stable,stable,
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,3,exogenous,0.37328333333333336,0.7583333333333333,0.14583333333333337,0.024833562638762352,0.41025,0.49583333333333335,0.1375,0.02498624621666888,0.21646666666666667,0.375,0.10416666666666666,0.021398052870919507,0.6279166242600916,0.8211310998746806,0.14827369986795802,0.02996423377002944,0.6278577155959602,0.8211310998746806,0.14827369986795802,0.03009907926803964,0.21998247904686508,0.5590446377586641,0.22067107479160591,0.04629618448121931,0.2209666666666667,0.5666666666666667,0.2791666666666667,0.05402143607453948,2.220230122564684,2.440450727836611,0.24740076964640512,0.04688706701354325,1.0,1.0,0.0,0.0,0.153,0.4642857142857143,0.32142857142857145,0.06156281013596386,0.049571428571428565,0.10714285714285714,0.10714285714285714,0.02815445736269401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.36666666666666664,0.36666666666666664,0.0,0.0,0.45833333333333326,0.4583333333333333,0.0,5.551115123125783e-17,0.175,0.175,0.0,0.0,stable,stable,
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,4,exogenous,0.3983166666666666,0.8291666666666667,0.13333333333333336,0.02446113129935826,0.41478333333333334,0.48333333333333334,0.13333333333333336,0.025199101615379513,0.1869,0.37083333333333335,0.09583333333333333,0.01938788281375767,0.5779319362277452,0.8030815186938823,0.14269380598540593,0.02768679034984371,0.5779965462611599,0.8030815186938823,0.14269380598540593,0.02727960293176938,0.14897705913461218,0.5236457474628498,0.16421986149064194,0.032212983693192435,0.14811666666666667,0.5291666666666667,0.20833333333333334,0.03804960577982379,2.1938628931072035,2.4716397017907257,0.24990635344675516,0.046589921999213545,1.0,1.0,0.0,0.0,0.22342857142857145,0.4642857142857143,0.3214285714285714,0.06721940924756656,0.03414285714285714,0.17857142857142858,0.10714285714285714,0.030515636674214305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.30416666666666664,0.30416666666666664,0.0,0.0,0.5,0.5,0.0,0.0,0.1958333333333333,0.19583333333333333,0.0,2.7755575615628914e-17,stable,stable,
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,5,exogenous,0.3592833333333333,0.8041666666666667,0.14583333333333331,0.02384266134474086,0.4117833333333333,0.49583333333333335,0.14583333333333337,0.025388104169735345,0.22893333333333335,0.3875,0.12083333333333335,0.02125116990243648,0.6186868824572881,0.799540837701827,0.15871813791100364,0.027465040435300733,0.6192877607137901,0.799540837701827,0.15871813791100364,0.027509197704098542,0.1975379420356186,0.5024213979500328,0.23462309127315112,0.039411452084517296,0.2005,0.5041666666666667,0.2625,0.047952812453726026,2.264826633124346,2.4605726466872127,0.2810343956046335,0.04511460678320919,1.0,1.0,0.0,0.0,0.17185714285714282,0.5,0.32142857142857145,0.06593766382124924,0.014,0.10714285714285714,0.07142857142857142,0.020896245146544624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.4,0.4,0.0,0.0,0.4541666666666666,0.45416666666666666,0.0,5.551115123125783e-17,0.14583333333333334,0.14583333333333334,0.0,0.0,stable,oscillatory,
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,6,exogenous,0.3655333333333333,0.7833333333333333,0.13333333333333336,0.02418318975376629,0.39751666666666663,0.4625,0.125,0.024841436038289824,0.23695,0.37916666666666665,0.11666666666666667,0.022030036314087183,0.641009626578738,0.8199478209086412,0.15418609550304452,0.028601872006719604,0.640170989040744,0.8199478209086412,0.15418609550304452,0.0288206159932324,0.23487384772465258,0.5474041755576592,0.24598821068189855,0.04616727921037054,0.23298333333333332,0.5625,0.2875,0.05385889228138449,2.2569250003065253,2.458438836765514,0.245112138445164,0.046855654906545266,1.0,1.0,0.0,0.0,0.2937142857142857,0.5,0.39285714285714285,0.06675633425574914,0.07514285714285712,0.14285714285714285,0.14285714285714285,0.03594894338658988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.3583333333333334,0.35833333333333334,0.0,5.551115123125783e-17,0.4291666666666666,0.42916666666666664,0.0,5.551115123125783e-17,0.21249999999999994,0.2125,0.0,5.551115123125783e-17,stable,stable,
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,7,exogenous,0.3556166666666667,0.8083333333333333,0.14583333333333337,0.023328457823963512,0.4217666666666667,0.49583333333333335,0.14166666666666666,0.024363360468813277,0.22261666666666668,0.375,0.12083333333333335,0.020329241391541287,0.633162999681479,0.7958537360075593,0.16042041259894557,0.027805687168090874,0.6337804662222237,0.7958537360075593,0.16042041259894557,0.027578603946017584,0.22271017941530608,0.5055680259033623,0.24126477860460394,0.04263856868247149,0.22211666666666668,0.5208333333333334,0.2375,0.048933971953144285,2.2432893539177954,2.437188934788535,0.2741472109507157,0.04437000333001707,1.0,1.0,0.0,0.0,0.26042857142857145,0.5,0.35714285714285715,0.0645108755267241,0.018857142857142854,0.07142857142857142,0.07142857142857142,0.019987751351305944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.37916666666666665,0.37916666666666665,0.0,0.0,0.43333333333333346,0.43333333333333335,0.0,1.1102230246251565e-16,0.1875,0.1875,0.0,0.0,stable,oscillatory,
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,8,exogenous,0.35593333333333327,0.8416666666666667,0.125,0.023328951969602062,0.40861666666666663,0.4875,0.16666666666666663,0.02434395316203914,0.23545,0.4125,0.14583333333333331,0.020750642560332117,0.6317285369990762,0.8355124283278634,0.1438013938923829,0.028031459915836023,0.6313722998171456,0.8355124283278634,0.1438013938923829,0.027984913956282616,0.2158493523177957,0.5560019194387079,0.21171861158424343,0.04196715526835436,0.21706666666666666,0.6,0.2916666666666667,0.05207879713579328,2.235556350796521,2.4934120752430973,0.23075340751102846,0.0444312667398366,1.0,1.0,0.0,0.0,0.19042857142857142,0.5,0.4285714285714286,0.06744022296426212,0.0022857142857142855,0.07142857142857142,0.03571428571428571,0.008741176309016201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.37083333333333335,0.37083333333333335,0.0,0.0,0.44166666666666654,0.44166666666666665,0.0,1.1102230246251565e-16,0.1875,0.1875,0.0,0.0,stable,runaway,
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,9,exogenous,0.35085,0.7625,0.14166666666666666,0.02477481359947818,0.4487333333333334,0.525,0.15416666666666673,0.02525549445170298,0.20041666666666666,0.4,0.13749999999999998,0.02283470190545765,0.630736655300504,0.8399635473427022,0.1554437448568926,0.03046803850747256,0.6304458402994066,0.8399635473427022,0.1554437448568926,0.02984221486457464,0.22428160394958727,0.5868640290179212,0.23781999987184488,0.046880046244858455,0.22495,0.6375,0.2625,0.0530035140344487,2.232440980734775,2.442727643553437,0.24603442366324124,0.047126097238416986,1.0,1.0,0.0,0.0,0.1724285714285714,0.4642857142857143,0.32142857142857145,0.05774698507900032,0.039428571428571424,0.14285714285714285,0.14285714285714285,0.034203472791814696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.3125,0.3125,0.0,0.0,0.46666666666666673,0.4666666666666667,0.0,5.551115123125783e-17,0.22083333333333327,0.22083333333333333,0.0,5.551115123125783e-17,stable,oscillatory,
500,240,modular,6,0.08,0.004,0.12,6,10.0,0.72,0.22,True,static,1.0,True,True,1.35,exogenous,False,oracle,10,exogenous,0.3771833333333333,0.8208333333333333,0.1375,0.023550117952051863,0.41736666666666666,0.48333333333333334,0.15000000000000002,0.02451890427133045,0.20545,0.3541666666666667,0.12083333333333335,0.020573857467940014,0.6063618636079703,0.8318292167803616,0.14153162757946247,0.027298602720610434,0.6068882615153549,0.8318292167803616,0.14362400023648536,0.02764784310818749,0.1861093581947038,0.5664280918260353,0.1997741191158942,0.03855930551143413,0.18594999999999998,0.5583333333333333,0.25416666666666665,0.048389625265477444,2.235781857474361,2.5873557032645134,0.2474619082488969,0.04546621990999693,1.0,1.0,0.0,0.0,0.3271428571428572,0.5714285714285714,0.5,0.0788177955664784,0.07285714285714283,0.17857142857142858,0.17857142857142858,0.037225183487986806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.2958333333333334,0.29583333333333334,0.0,5.551115123125783e-17,0.4541666666666666,0.45416666666666666,0.0,5.551115123125783e-17,0.25,0.25,0.0,0.0,stable,oscillatory,
